month,original_tripc,NaNs,duplicates,original_M,original_F,original_O,roundtrips,age_from_100,filtered_tripc,filtered_M,filtered_F
1,967287,18,0,727130,206028,34129,15508,844,918494,715511,202983
2,943744,9,0,703464,203512,36768,15127,507,893096,692679,200417
3,1327960,10,0,962603,293780,71577,24039,832,1235091,946493,288598
4,1766094,0,0,1218551,409285,138258,39307,813,1596570,1196276,400294
5,1924563,0,0,1293779,462613,168171,43911,928,1720966,1269001,451965
6,2125370,0,0,1399108,527577,198685,53758,944,1883119,1368707,514412
7,2181064,54,0,1441107,543928,196029,55923,1017,1939708,1409377,530331
8,2344224,89,0,1530272,588431,225521,58983,983,2071236,1497254,573982
9,2444900,0,0,1612056,626859,205985,54707,1066,2193100,1579892,613208
10,2092573,0,0,1425934,512899,153740,40068,959,1904526,1401117,503409
11,1478708,0,0,1042505,351188,85015,24716,613,1371748,1026074,345674
12,955210,0,0,695884,212896,46430,16930,463,893481,684123,209358
