date,original_tripc,original_male,original_female,filtered_tripc,filtered_male,filtered_female
01/06/2013,8722,3917,1215,5132,3917,1215
02/06/2013,15971,3954,1276,5230,3954,1276
03/06/2013,7598,3717,893,4610,3717,893
04/06/2013,15782,7013,1796,8809,7013,1796
05/06/2013,15690,6836,1783,8619,6836,1783
06/06/2013,12420,5493,1403,6896,5493,1403
07/06/2013,1226,768,123,891,768,123
08/06/2013,18007,4987,1524,6511,4987,1524
09/06/2013,21034,4640,1532,6172,4640,1532
10/06/2013,3897,2159,445,2604,2159,445
11/06/2013,12596,6529,1642,8171,6529,1642
12/06/2013,16795,7744,2096,9840,7744,2096
13/06/2013,8016,4443,986,5429,4443,986
14/06/2013,14942,7124,1806,8930,7124,1806
15/06/2013,25178,6417,2158,8575,6417,2158
16/06/2013,21966,6065,1926,7991,6065,1926
17/06/2013,19659,9169,2489,11658,9169,2489
18/06/2013,13724,7072,1673,8745,7072,1673
19/06/2013,24142,12141,3195,15336,12141,3195
20/06/2013,26603,13978,3539,17517,13978,3539
21/06/2013,27997,14194,3644,17838,14194,3644
22/06/2013,29281,9976,3299,13275,9976,3299
23/06/2013,28065,10154,3345,13499,10154,3345
24/06/2013,24251,13921,3673,17594,13921,3673
25/06/2013,27827,16717,4417,21134,16717,4417
26/06/2013,29499,17902,4871,22773,17902,4871
27/06/2013,24334,15341,3998,19339,15341,3998
28/06/2013,27818,17122,4550,21672,17122,4550
29/06/2013,29753,13122,4396,17518,13122,4396
30/06/2013,24909,10877,3770,14647,10877,3770
01/07/2013,16650,11095,2821,13916,11095,2821
02/07/2013,22745,14645,4029,18672,14643,4029
03/07/2013,21864,13967,3746,17710,13964,3746
04/07/2013,22326,8419,3135,11553,8418,3135
05/07/2013,21842,10431,3234,13665,10431,3234
06/07/2013,20467,8560,2943,11503,8560,2943
07/07/2013,20477,9411,3200,12610,9410,3200
08/07/2013,21615,13663,3834,17497,13663,3834
09/07/2013,26641,17471,4881,22352,17471,4881
10/07/2013,25732,16880,4831,21707,16876,4831
11/07/2013,24417,16072,4656,20728,16072,4656
12/07/2013,19006,12980,3265,16245,12980,3265
13/07/2013,26119,13231,5009,18240,13231,5009
14/07/2013,29287,14083,5341,19424,14083,5341
15/07/2013,28069,18418,5359,23777,18418,5359
16/07/2013,29842,19989,5892,25881,19989,5892
17/07/2013,30550,20361,6062,26423,20361,6062
18/07/2013,28869,19542,5747,25289,19542,5747
19/07/2013,26591,17800,5037,22837,17800,5037
20/07/2013,25278,12959,4747,17706,12959,4747
21/07/2013,30297,14862,5705,20565,14860,5705
22/07/2013,25979,17345,5075,22420,17345,5075
23/07/2013,32376,21881,6501,28382,21881,6501
24/07/2013,35271,23414,7140,30554,23414,7140
25/07/2013,31084,21471,5956,27427,21471,5956
26/07/2013,34534,22422,6620,29042,22422,6620
27/07/2013,32470,15493,6004,21497,15493,6004
28/07/2013,23508,12117,4519,16627,12108,4519
29/07/2013,34915,22761,6917,29676,22759,6917
30/07/2013,37334,24775,7463,32238,24775,7463
31/07/2013,37261,24961,7337,32296,24960,7336
01/08/2013,20138,14789,3757,18546,14789,3757
02/08/2013,35792,23092,6926,30018,23092,6926
03/08/2013,29540,14890,5621,20503,14882,5621
04/08/2013,35253,16341,6669,23010,16341,6669
05/08/2013,36776,23430,7238,30668,23430,7238
06/08/2013,37702,24644,7688,32332,24644,7688
07/08/2013,34396,23239,6934,30173,23239,6934
08/08/2013,28366,19609,5527,25136,19609,5527
09/08/2013,29017,19587,5718,25305,19587,5718
10/08/2013,37201,16699,6854,23553,16699,6854
11/08/2013,33060,15602,6217,21819,15602,6217
12/08/2013,31457,20809,6191,27000,20809,6191
13/08/2013,22437,15680,4369,20049,15680,4369
14/08/2013,38150,25489,7709,33198,25489,7709
15/08/2013,37386,25071,7400,32470,25070,7400
16/08/2013,35991,23273,7231,30504,23273,7231
17/08/2013,37285,16792,6946,23738,16792,6946
18/08/2013,27612,14339,5602,19941,14339,5602
19/08/2013,33127,22044,6528,28572,22044,6528
20/08/2013,35843,24056,7367,31423,24056,7367
21/08/2013,36315,24761,7444,32204,24760,7444
22/08/2013,26629,18866,5384,24250,18866,5384
23/08/2013,33503,21771,6751,28522,21771,6751
24/08/2013,32941,16610,6495,23104,16609,6495
25/08/2013,31755,15653,6513,22165,15652,6513
26/08/2013,29979,20234,6218,26452,20234,6218
27/08/2013,34208,23272,7276,30548,23272,7276
28/08/2013,28185,19704,5951,25655,19704,5951
29/08/2013,34215,23185,7068,30253,23185,7068
30/08/2013,32318,21036,6473,27509,21036,6473
31/08/2013,25381,12347,4883,17230,12347,4883
01/09/2013,25235,11439,4584,16023,11439,4584
02/09/2013,21416,11348,4371,15719,11348,4371
03/09/2013,32411,22337,6751,29088,22337,6751
04/09/2013,36798,25167,7739,32906,25167,7739
05/09/2013,35825,24365,7350,31715,24365,7350
06/09/2013,35868,24271,7261,31532,24271,7261
07/09/2013,34419,18223,7318,25541,18223,7318
08/09/2013,33196,17944,7195,25139,17944,7195
09/09/2013,35394,24458,7394,31852,24458,7394
10/09/2013,36954,25691,7951,33642,25691,7951
11/09/2013,35812,24753,7713,32466,24753,7713
12/09/2013,31252,22224,6437,28661,22224,6437
13/09/2013,36501,25427,7405,32832,25427,7405
14/09/2013,31607,16926,6878,23802,16924,6878
15/09/2013,31914,17138,7172,24310,17138,7172
16/09/2013,31287,22147,6519,28666,22147,6519
17/09/2013,38283,26995,8142,35137,26995,8142
18/09/2013,37957,26621,8085,34706,26621,8085
19/09/2013,39200,27107,8432,35539,27107,8432
20/09/2013,39382,26776,8272,35048,26776,8272
