month,tripduration,starttime,stoptime,startstationid,startstationname,startstationlatitude,startstationlongitude,endstationid,endstationname,endstationlatitude,endstationlongitude,bikeid,usertype,birthyear,gender,totaltripc,Max % missing data
201306,0,0,0,0,0,0,0,18059,18059,18059,18059,0,0,240321,0,577703,41.6%
201307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843416,0.0%
201308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001958,0.0%
201309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1034359,0.0%
201310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1037712,0.0%
201311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675774,0.0%
201312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443966,0.0%
201401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300400,0.0%
201402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224736,0.0%
201403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439117,0.0%
201404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670780,0.0%
201405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866117,0.0%
201406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936880,0.0%
201407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968842,0.0%
201408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963489,0.0%
201409,0,0,0,0,0,0,0,0,0,0,0,0,0,99325,0,953887,10.4%
201410,0,0,0,0,0,0,0,0,0,0,0,0,0,69087,0,828711,8.3%
201411,0,0,0,0,0,0,0,0,0,0,0,0,0,28026,0,529188,5.3%
201412,0,0,0,0,0,0,0,0,0,0,0,0,0,16496,0,399069,4.1%
201501,0,0,0,0,0,0,0,0,0,0,0,0,0,5628,0,285552,2.0%
201502,0,0,0,0,0,0,0,0,0,0,0,0,0,2267,0,196930,1.2%
201503,0,0,0,0,0,0,0,0,0,0,0,0,0,12853,0,341826,3.8%
201504,0,0,0,0,0,0,0,0,0,0,0,0,0,66217,0,652390,10.1%
201505,0,0,0,0,0,0,0,0,0,0,0,0,0,167552,0,961986,17.4%
201506,0,0,0,0,0,0,0,0,0,0,0,0,0,130392,0,941219,13.9%
201507,0,0,0,0,0,0,0,0,0,0,0,0,0,180365,0,1085676,16.6%
